;alimento;kcal;proteina;lipideos;carboidrato;fibras
0;ARROZ INTEGRAL COZIDO;124.0;2.6;1.0;25.8;2.7
1;ARROZ INTEGRAL CRU;360.0;7.3;1.9;77.5;4.8
2;ARROZ TIPO 1 COZIDO;128.0;2.5;0.2;28.1;1.6
3;ARROZ TIPO 1 CRU;358.0;7.2;0.3;78.8;1.6
4;ARROZ TIPO 2 COZIDO;130.0;2.6;0.4;28.2;1.1
5;ARROZ TIPO 2 CRU;358.0;7.2;0.3;78.9;1.7
6;AVEIA FLOCOS CRUA;394.0;13.9;8.5;66.6;9.1
7;MACARRAO TRIGO CRU;371.0;10.0;1.3;77.9;2.9
8;MILHO FUBA CRU;353.0;7.2;1.9;78.9;4.7
9;PAO TRIGO FRANCES;300.0;8.0;3.1;58.6;2.3
10;ALFACE AMERICANA CRUA;9.0;0.6;0.1;1.7;1.0
11;BATATA DOCE COZIDA;77.0;0.6;0.1;18.4;2.2
12;BATATA DOCE CRUA;118.0;1.3;0.1;28.2;2.6
13;BATATA INGLESA COZIDA;52.0;1.2;0.0;11.9;1.3
14;BATATA INGLESA CRUA;64.0;1.8;0.0;14.7;1.2
15;BROCOLIS COZIDO;25.0;2.1;0.5;4.4;3.4
16;CARA COZIDO;78.0;1.5;0.1;18.9;2.6
17;CEBOLA CRUA;39.0;1.7;0.1;8.9;2.2
18;CEBOLINHA CRUA;20.0;1.9;0.4;3.4;3.6
19;CENOURA COZIDA;30.0;0.8;0.2;6.7;2.6
20;CENOURA CRUA;34.0;1.3;0.2;7.7;3.2
21;CHUCHU COZIDO;19.0;0.4;0.0;4.8;1.0
22;CHUCHU CRU;17.0;0.7;0.1;4.1;1.3
23;COUVE-FLOR CRUA;23.0;1.9;0.2;4.5;2.4
24;COUVE-FLOR COZIDA;19.0;1.2;0.3;3.9;2.1
25;ESPINAFRE NOVA ZELANDIA CRU;16.0;2.0;0.2;2.6;2.1
26;FARINHA DE MANDIOCA TORRADA;365.0;1.2;0.3;89.2;6.5
27;MANDIOCA COZIDA;125.0;0.6;0.3;30.1;1.6
28;PIMENTAO VERDE CRU;21.0;1.1;0.2;4.9;2.6
29;TOMATE COM SEMENTE CRU;15.0;1.1;0.2;3.1;1.2
30;TOMATE EXTRATO;61.0;2.4;0.2;15.0;2.8
31;TOMATE MOLHO INDUSTRIALIZADO;38.0;1.4;0.9;7.7;3.1
32;ABACATE CRU;96.0;1.2;8.4;6.0;6.3
33;ABACAXI CRU;48.0;0.9;0.1;12.3;1.0
34;ACEROLA CRUA;33.0;0.9;0.2;8.0;1.5
35;BANANA PACOVAN CRUA;78.0;1.2;0.1;20.3;2.0
36;BANANA PRATA CRUA;98.0;1.3;0.1;26.0;2.0
37;CAJU CRU;43.0;1.0;0.3;10.3;1.7
38;LARANJA PERA CRUA;37.0;1.0;0.1;8.9;0.8
39;LARANJA PERA SUCO;33.0;0.7;0.1;7.6;0.0
40;LIMAO TAHITI CRU;32.0;0.9;0.1;11.1;1.2
41;MACA ARGENTINA COM CASCA CRUA;63.0;0.2;0.2;16.6;2.0
42;MACA FUJI COM CASCA CRUA;56.0;0.3;0.0;15.2;1.3
43;MAMAO FORMOSA CRU;45.0;0.8;0.1;11.6;1.8
44;MAMAO PAPAIA CRU;40.0;0.5;0.1;10.4;1.0
45;MANGA TOMMY ATKINS CRUA;51.0;0.9;0.2;12.8;2.1
46;MARACUJA CRU;68.0;2.0;2.1;12.3;1.1
47;MELANCIA CRUA;33.0;0.9;0.0;8.1;0.1
48;MELAO CRU;29.0;0.7;0.0;7.5;0.3
49;MORANGO CRU;30.0;0.9;0.3;6.8;1.7
50;PERA PARK CRUA;61.0;0.2;0.2;16.1;3.0
51;PERA WILLIAMS CRUA;53.0;0.6;0.1;14.0;3.0
52;PESSEGO AURORA CRU;36.0;0.8;0.0;9.3;1.4
53;PITANGA CRUA;41.0;0.9;0.2;10.2;3.2
54;ROMA CRUA;56.0;0.4;0.0;15.1;0.4
55;TAMARINDO CRU;276.0;3.2;0.5;72.5;6.4
56;TANGERINA PONCA CRUA;38.0;0.8;0.1;9.6;0.9
57;UVA ITALIA CRUA;53.0;0.7;0.2;13.6;0.9
58;AZEITE DE DENDE;884.0;0.0;100.0;0.0;0.0
59;AZEITE DE OLIVA EXTRA VIRGEM;884.0;0.0;100.0;0.0;0.0
60;MANTEIGA COM SAL;726.0;0.4;82.4;0.1;0.0
61;MANTEIGA SEM SAL;758.0;0.4;86.0;0.0;0.0
62;MARGARINA COM OLEOHIDROGENADO COM SAL (65% DE LIPIDEOS);596.0;0.0;67.4;0.0;0.0
63;MARGARINA COM OLEOHIDROGENADO SEM SAL (80% DE LIPIDEOS);723.0;0.0;81.7;0.0;0.0
64;MARGARINA COM OLEOINTERESTERIFICADO COM SAL (65%DE LIPIDEOS);594.0;0.0;67.2;0.0;0.0
65;MARGARINA COM OLEOINTERESTERIFICADO SEM SAL (65% DE LIPIDEOS);593.0;0.0;67.1;0.0;0.0
66;OLEO DE CANOLA;884.0;0.0;100.0;0.0;0.0
67;OLEO DE GIRASSOL;884.0;0.0;100.0;0.0;0.0
68;OLEO DE MILHO;884.0;0.0;100.0;0.0;0.0
69;OLEO DE SOJA;884.0;0.0;100.0;0.0;0.0
70;ATUM CONSERVA EM OLEO;166.0;26.2;6.0;0.0;0.0
71;SALMAO FILE COM PELE FRESCO GRELHADO;229.0;23.9;14.0;0.0;0.0
72;SALMAO SEM PELE FRESCO GRELHADO;243.0;26.1;14.5;0.0;0.0
73;SARDINHA ASSADA;164.0;32.2;3.0;0.0;0.0
74;SARDINHA CONSERVA EM OLEO;285.0;15.9;24.0;0.0;0.0
75;SARDINHA FRITA;257.0;33.4;12.7;0.0;0.0
76;CARNE BOVINA CHARQUE COZIDO;263.0;36.4;11.9;0.0;0.0
77;CARNE BOVINA CHARQUE CRU;249.0;22.7;16.8;0.0;0.0
78;CARNE BOVINA COXAO MOLE SEM GORDURA COZIDO;219.0;32.4;8.9;0.0;0.0
79;CARNE BOVINA COXAO MOLE SEM GORDURA CRU;169.0;21.2;8.7;0.0;0.0
80;CARNE BOVINA CUPIM ASSADO;330.0;28.6;23.0;0.0;0.0
81;CARNE BOVINA CUPIM CRU;221.0;19.5;15.3;0.0;0.0
82;CARNE BOVINA MAMINHA CRUA;153.0;20.9;7.0;0.0;0.0
83;CARNE BOVINA MAMINHA GRELHADA;153.0;30.7;2.4;0.0;0.0
84;CARNE BOVINA PATINHO SEM GORDURA CRU;133.0;21.7;4.5;0.0;0.0
85;CARNE BOVINA PATINHO SEM GORDURA GRELHADO;219.0;35.9;7.3;0.0;0.0
86;CARNE BOVINA PICANHA COM GORDURA CRUA;213.0;18.8;14.7;0.0;0.0
87;CARNE BOVINA PICANHA COM GORDURA GRELHADA;289.0;26.4;19.5;0.0;0.0
88;CARNE BOVINA PICANHA SEM GORDURA CRUA;134.0;21.3;4.7;0.0;0.0
89;CARNE BOVINA PICANHA SEM GORDURA GRELHADA;238.0;31.9;11.3;0.0;0.0
90;CARNE BOVINA SECA COZIDA;313.0;26.9;21.9;0.0;0.0
91;CARNE BOVINA SECA CRUA;313.0;19.7;25.4;0.0;0.0
92;EMPADA DE FRANGO PRE-COZIDA ASSADA;358.0;6.9;15.6;47.5;2.2
93;EMPADA DE FRANGO PRE-COZIDA;377.0;7.3;22.9;35.5;2.2
94;FRANGO FILE A MILANESA;221.0;28.5;7.8;7.5;1.1
95;FRANGO PEITO SEM PELE COZIDO;163.0;31.5;3.2;0.0;0.0
96;FRANGO PEITO SEM PELE CRU;119.0;21.5;3.0;0.0;0.0
97;FRANGO PEITO SEM PELE GRELHADO;159.0;32.0;2.5;0.0;0.0
98;FRANGO SOBRECOXA SEM PELE ASSADA;233.0;29.2;12.0;0.0;0.0
99;FRANGO SOBRECOXA SEM PELE CRUA;162.0;17.6;9.6;0.0;0.0
100;PORCO BISTECA CRUA;164.0;21.5;8.0;0.0;0.0
101;PORCO BISTECA GRELHADA;280.0;28.9;17.4;0.0;0.0
102;PORCO COSTELA ASSADA;402.0;30.2;30.3;0.0;0.0
103;PORCO COSTELA CRUA;256.0;18.0;19.8;0.0;0.0
104;PORCO LOMBO ASSADO;210.0;35.7;6.4;0.0;0.0
105;PORCO LOMBO CRU;176.0;22.6;8.8;0.0;0.0
106;PORCO PERNIL ASSADO;262.0;32.1;13.9;0.0;0.0
107;PORCO PERNIL CRU;186.0;20.1;11.1;0.0;0.0
108;BEBIDA LACTEA PESSEGO;55.0;2.1;1.9;7.6;0.3
109;CREME DE LEITE;221.0;1.5;22.5;4.5;0.0
110;IOGURTE NATURAL;51.0;4.1;3.0;1.9;0.0
111;IOGURTE NATURAL DESNATADO;41.0;3.8;0.3;5.8;0.0
112;IOGURTE SABOR MORANGO;70.0;2.7;2.3;9.7;0.2
113;IOGURTE SABORPESSEGO;68.0;2.5;2.3;9.4;0.7
114;LEITE DE CABRA;66.0;3.1;3.8;5.2;0.0
115;LEITE DE VACA ACHOCOLATADO;83.0;2.1;2.2;14.2;0.6
116;LEITE DE VACA DESNATADO PO;362.0;34.7;0.9;53.0;0.0
117;LEITE DE VACA INTEGRAL PO;497.0;25.4;26.9;39.2;0.0
118;LEITE FERMENTADO;70.0;1.9;0.1;15.7;0.0
119;QUEIJO MINAS FRESCAL;264.0;17.4;20.2;3.2;0.0
120;QUEIJO MINAS MEIA CURA;321.0;21.2;24.6;3.6;0.0
121;QUEIJO MOZARELA;330.0;22.6;25.2;3.0;0.0
122;QUEIJO PARMESAO;453.0;35.6;33.5;1.7;0.0
123;QUEIJO PASTEURIZADO;303.0;9.4;27.4;5.7;0.0
124;QUEIJO PETIT SUISSE MORANGO;121.0;5.8;2.8;18.5;0.0
125;QUEIJO PRATO;360.0;22.7;29.1;1.9;0.0
126;QUEIJO REQUEIJAO CREMOSO;257.0;9.6;23.4;2.4;0.0
127;QUEIJO RICOTA;140.0;12.6;8.1;3.8;0.0
128;BEBIDA ISOTONICA SABORES VARIADOS;26.0;0.0;0.0;6.4;0.0
129;CAFE INFUSAO 10%;9.0;0.7;0.1;1.5;0.0
130;CANA CALDO DE;65.0;0.0;0.0;18.2;0.1
131;CHA ERVA-DOCE INFUSAO 5%;1.0;0.0;0.0;0.4;0.0
132;CHA MATE INFUSAO 5%;3.0;0.0;0.1;0.6;0.0
133;CHA PRETO INFUSAO 5%;2.0;0.0;0.0;0.6;0.0
134;AGUA DE COCO;22.0;0.0;0.0;5.3;0.1
135;OMELETE DE QUEIJO;268.0;15.6;22.0;0.4;0.0
136;OVO DE CODORNA INTEIRO CRU;177.0;13.7;12.7;0.8;0.0
137;OVO DE GALINHA CLARA COZIDA/10MINUTOS;59.0;13.4;0.1;0.0;0.0
138;OVO DE GALINHA GEMA COZIDA/10MINUTOS;353.0;15.9;30.8;1.6;0.0
139;OVO DE GALINHA INTEIRO COZIDO/10MINUTOS;146.0;13.3;9.5;0.6;0.0
140;OVO DE GALINHA INTEIRO CRU;143.0;13.0;8.9;1.6;0.0
141;OVO DE GALINHA INTEIRO FRITO;240.0;15.6;18.6;1.2;0.0
142;ACHOCOLATADO PO;401.0;4.2;2.2;91.2;3.9
143;ACUCAR MASCAVO;369.0;0.8;0.1;94.5;0.0
144;CHOCOLATE AO LEITE;540.0;7.2;30.3;59.6;2.2
145;CHOCOLATE AO LEITE COM CASTANHA DO PARA;559.0;7.4;34.2;55.4;2.5
146;CHOCOLATE AO LEITE DIETETICO;557.0;6.9;33.8;56.3;2.8
147;CHOCOLATE MEIO AMARGO;475.0;4.9;29.9;62.4;4.9
148;COCADA BRANCA;449.0;1.1;13.6;81.4;3.6
149;DOCE DEABOBORA CREMOSO;199.0;0.9;0.2;54.6;2.3
150;DOCE DE LEITE CREMOSO;306.0;5.5;6.0;59.5;0.0
151;MEL DE ABELHA;309.0;0.0;0.0;84.0;0.0
152;MELADO;297.0;0.0;0.0;76.6;0.0
153;QUINDIM;411.0;4.7;24.4;46.3;3.2
154;RAPADURA;352.0;1.0;0.1;90.8;0.0
155;CAFE PO TORRADO;419.0;14.7;11.9;65.8;51.2
156;CAPUCCINO PO;417.0;11.3;8.6;73.6;2.4
157;FERMENTO EM PO QUIMICO;90.0;0.5;0.1;43.9;0.0
158;FERMENTO BIOLOGICO LEVEDURA TABLETE;90.0;17.0;1.5;7.7;4.2
159;GELATINA SABORES VARIADOS PO;380.0;8.9;0.0;89.2;0.0
160;SAL DIETETICO;0.0;0.0;0.0;0.0;0.0
161;SAL GROSSO;0.0;0.0;0.0;0.0;0.0
162;SHOYU;61.0;3.3;0.3;11.6;0.0
163;TEMPERO A BASE DE SAL;21.0;2.7;0.3;2.1;0.6
164;CUSCUZ DE MILHO COZIDO COM SAL;113.0;2.2;0.7;25.3;2.1
165;CUSCUZ PAULISTA;142.0;2.6;4.6;22.5;2.4
166;DOBRADINHA;125.0;19.8;4.4;0.0;0.0
167;ESTROGONOFE DE CARNE;173.0;15.0;10.8;3.0;0.0
168;ESTROGONOFE DE FRANGO;157.0;17.6;8.0;2.6;0.0
169;FEIJAO TROPEIRO MINEIRO;152.0;10.2;6.8;19.6;3.6
170;FEIJOADA;117.0;8.7;6.5;11.6;5.1
171;SALADA DE LEGUMES COM MAIONESE;96.0;1.1;7.0;8.9;2.2
172;SALADA DE LEGUMES COZIDA NO VAPOR;35.0;2.0;0.3;7.1;2.5
173;SALPICAO DE FRANGO;148.0;13.9;7.8;4.6;0.4
174;SARAPATEL;123.0;18.5;4.4;1.1;0.0
175;TAPIOCA COM MANTEIGA;348.0;0.1;10.9;63.6;0.0
176;VATAPA;255.0;6.0;23.2;9.7;1.7
177;YAKISOBA;113.0;7.5;2.6;18.3;1.1
178;AMENDOIM GRAO CRU;544.0;27.2;43.9;20.3;8.0
179;AMENDOIM TORRADO SALGADO;606.0;22.5;54.0;18.7;7.8
180;ERVILHA EM VAGEM;88.0;7.5;0.5;14.2;9.7
181;ERVILHA ENLATADA DRENADA;74.0;4.6;0.4;13.4;5.1
182;FEIJAO CARIOCA COZIDO;76.0;4.8;0.5;13.6;8.5
183;FEIJAO CARIOCA CRU;329.0;20.0;1.3;61.2;18.4
184;FEIJAO FRADINHO COZIDO;78.0;5.1;0.6;13.5;7.5
185;FEIJAO FRADINHO CRU;339.0;20.2;2.4;61.2;23.6
186;FEIJAO PRETO COZIDO;77.0;4.5;0.5;14.0;8.4
187;FEIJAO PRETO CRU;324.0;21.3;1.2;58.8;21.8
188;GRAO-DE-BICO CRU;355.0;21.2;5.4;57.9;12.4
189;LENTILHA COZIDA;93.0;6.3;0.5;16.3;7.9
190;LENTILHA CRUA;339.0;23.2;0.8;62.0;16.9
191;PACOCA AMENDOIM;487.0;16.0;26.1;52.4;7.3
192;TESTE1;40.0;10.0;5.0;0.0;0.0
193;TESTE2;160.0;0.0;0.0;40.0;5.0
